press	release	interval
482	471	0
484	492	99
491	495	107
483	495	111
483	470	123
459	473	110
475	451	124
461	495	100
483	460	134
448	463	111
476	465	126
447	428	115
459	448	96
482	495	85
471	472	98
471	471	99
471	491	99
471	448	119
468	494	96
460	438	122
484	472	100
460	484	88
498	472	112
448	468	86
458	464	106
473	459	112
459	472	98
483	470	111
459	460	98
471	474	99
473	486	102
454	438	115
462	483	99
459	463	120
474	439	124
487	498	89
449	458	100
473	477	109
484	481	113
471	474	110
474	473	113
461	460	112
484	480	111
481	475	107
437	470	101
509	474	134
505	517	99
0	0	111
