press	release	interval
269	261	0
311	320	89
307	309	98
298	297	100
285	286	99
298	295	100
276	278	97
287	274	99
274	289	86
313	313	101
287	282	101
273	299	96
309	274	122
275	289	87
358	317	101
249	282	60
293	285	93
273	288	85
287	276	100
263	274	89
299	298	100
287	286	99
252	252	98
332	321	98
262	259	87
257	284	84
286	262	111
279	273	87
258	277	81
270	251	100
292	298	81
287	282	87
274	268	82
298	295	76
251	276	73
295	299	98
346	332	102
284	270	88
295	305	74
275	274	84
290	273	83
230	259	66
271	261	95
251	275	85
286	264	109
311	310	87
285	273	86
272	296	74
305	305	98
285	275	98
274	269	88
262	253	83
296	294	74
249	263	72
0	239	86
