press	release	interval
195	177	0
180	194	49
166	173	63
166	168	70
154	152	72
178	171	70
167	179	63
170	165	75
156	157	70
176	167	71
146	155	62
179	173	71
167	167	65
155	175	65
181	157	85
168	177	61
170	173	70
151	165	73
184	158	87
170	181	61
153	167	72
175	170	86
176	169	81
181	178	74
180	171	71
153	167	62
169	164	76
184	180	71
176	159	67
160	167	50
163	175	57
166	158	69
166	176	61
167	159	71
157	168	63
168	168	74
155	159	74
183	190	78
167	167	85
205	186	85
183	186	66
175	177	69
159	162	71
166	163	74
0	0	71
