press	release	interval
323	361	0
385	378	153
387	395	146
410	420	154
413	372	164
349	380	123
339	327	154
362	376	142
353	352	156
354	373	155
366	334	174
339	351	142
409	369	154
379	415	114
360	363	150
344	339	153
345	344	148
367	378	147
397	370	158
347	384	131
370	351	168
358	381	149
363	334	172
335	348	143
360	362	156
331	312	158
377	390	139
329	357	152
345	328	180
362	375	163
362	345	176
379	377	159
342	354	157
382	338	169
347	398	125
343	309	176
340	352	142
337	317	154
318	327	134
333	348	143
316	312	158
330	312	154
361	398	136
349	307	173
327	329	131
308	331	133
342	340	156
348	313	154
320	355	119
329	304	154
317	313	129
325	317	125
315	324	117
303	334	126
0	340	157
