press	release	interval
998	997	0
182	186	54
171	178	58
208	202	65
3272	3272	59
238	238	59
198	204	59
215	225	65
2540	2564	75
7337	7334	99
4961	4959	96
199	185	94
192	210	80
194	193	98
221	229	97
206	201	105
207	209	100
253	255	102
242	248	104
217	212	110
198	181	105
194	215	88
201	180	109
196	219	88
207	208	111
214	211	112
218	203	109
200	207	94
206	206	101
230	227	101
264	244	98
207	226	78
221	223	97
238	205	99
183	215	66
209	192	98
213	195	81
169	185	63
182	211	79
207	182	108
211	212	83
197	187	84
211	201	74
195	210	64
190	184	79
207	221	73
204	214	87
191	194	97
194	187	100
191	211	93
194	175	113
187	188	94
197	273	95
289	231	171
0	167	113
